,Unnamed: 0,movie_name,movie_rank,movie_year,movie_dir,critic_name,critic_org,critic_cn
185,185, Manakamana ,6,2013,Pacho Velez and Stephanie Spray,Christian Blauvelt,BBC Culture,US
186,186, The Curious Case of Benjamin Button ,7,2008,David Fincher,Christian Blauvelt,BBC Culture,US
187,187," You, The Living ",8,2007,Roy Andersson,Christian Blauvelt,BBC Culture,US
188,188, Mother ,9,2009,Bong Joon-ho,Christian Blauvelt,BBC Culture,US
189,189, A Serious Man ,10,2009,Joel and Ethan Coen,Christian Blauvelt,BBC Culture,US
190,190, Moolaadé ,1,2004,Ousmane Sembène,Mahen Bonetti,African Film Festival Inc,US
191,191, Timbuktu ,2,2014,Abderrahmane Sissako,Mahen Bonetti,African Film Festival Inc,US
192,192, Cuba: An African Odyssey ,3,2007,Jihan El-Tahri,Mahen Bonetti,African Film Festival Inc,US
193,193," Sexe, gombo et beurre salé ",4,2008,Mahamat-Saleh Haroun,Mahen Bonetti,African Film Festival Inc,US
194,194, Shoot the Messenger ,5,2006,Ngozi Onwurah,Mahen Bonetti,African Film Festival Inc,US
195,195, Red Leaves ,6,2014,Bazi Gete,Mahen Bonetti,African Film Festival Inc,US
196,196, The Colonial Misunderstanding ,7,2004,Jean-Marie Téno,Mahen Bonetti,African Film Festival Inc,US
197,197, Restless City ,8,2011,Andrew Dosunmu,Mahen Bonetti,African Film Festival Inc,US
198,198, Conversations on a Sunday Afternoon ,9,2005,Khalo Matabane,Mahen Bonetti,African Film Festival Inc,US
199,199, Belle ,10,2013,Amma Asante,Mahen Bonetti,African Film Festival Inc,US
200,200, Requiem for a Dream ,1,2000,Darren Aronofsky,Andreas Borcholte,Spiegel Online,Germany
201,201, Antichrist ,2,2009,Lars von Trier,Andreas Borcholte,Spiegel Online,Germany
202,202, Children of Men ,3,2006,Alfonso Cuarón,Andreas Borcholte,Spiegel Online,Germany
203,203, The Child ,4,2005,Jean-Pierre and Luc Dardenne,Andreas Borcholte,Spiegel Online,Germany
204,204, No Country For Old Men ,5,2007,Joel and Ethan Coen,Andreas Borcholte,Spiegel Online,Germany
205,205, Fish Tank ,6,2009,Andrea Arnold,Andreas Borcholte,Spiegel Online,Germany
206,206, The Tree of Life ,7,2011,Terrence Malick,Andreas Borcholte,Spiegel Online,Germany
207,207, Inception ,8,2010,Christopher Nolan,Andreas Borcholte,Spiegel Online,Germany
208,208, Kill Bill: Vol. 1 ,9,2003,Quentin Tarantino,Andreas Borcholte,Spiegel Online,Germany
209,209, Irreversible ,10,2002,Gaspar Noé,Andreas Borcholte,Spiegel Online,Germany
210,210, Amour ,1,2012,Michael Haneke,Utpal Borpujari,Freelance film critic,India
211,211, A Separation ,2,2011,Asghar Farhadi,Utpal Borpujari,Freelance film critic,India
212,212, In the Mood for Love ,3,2000,Wong Kar-wai,Utpal Borpujari,Freelance film critic,India
213,213, A Prophet ,4,2009,Jacques Audiard,Utpal Borpujari,Freelance film critic,India
214,214, Monsoon Wedding ,5,2001,Mira Nair,Utpal Borpujari,Freelance film critic,India
215,215, Son of Saul ,6,2015,László Nemes,Utpal Borpujari,Freelance film critic,India
216,216, Thithi ,7,2015,Raam Reddy,Utpal Borpujari,Freelance film critic,India
217,217, Blue Is the Warmest Color ,8,2013,Abdellatif Kechiche,Utpal Borpujari,Freelance film critic,India
218,218, No Man's Land ,9,2001,Danis Tanovic,Utpal Borpujari,Freelance film critic,India
219,219, Waltz with Bashir ,10,2008,Ari Folman,Utpal Borpujari,Freelance film critic,India
220,220, In Praise of Love ,1,2001,Jean-Luc Godard,Richard Brody,The New Yorker,US
221,221, The Wolf of Wall Street ,2,2013,Martin Scorsese,Richard Brody,The New Yorker,US
222,222, The Last of the Unjust ,3,2013,Claude Lanzmann,Richard Brody,The New Yorker,US
223,223, Like Someone In Love ,4,2012,Abbas Kiarostami,Richard Brody,The New Yorker,US
224,224, The Grand Budapest Hotel ,5,2014,Wes Anderson,Richard Brody,The New Yorker,US
225,225, Butter on the Latch ,6,2013,Josephine Decker,Richard Brody,The New Yorker,US
226,226, Heaven Knows What ,7,2014,Josh and Benny Safdie,Richard Brody,The New Yorker,US
227,227, The Future ,8,2011,Miranda July,Richard Brody,The New Yorker,US
228,228, Holy Motors ,9,2012,Leos Carax,Richard Brody,The New Yorker,US
229,229, Coma ,10,2015,Sara Fattahi,Richard Brody,The New Yorker,US
230,230," 4 Months, 3 Weeks & 2 Days ",1,2007,Cristian Mungiu,Hannah Brown,Jerusalem Post,Israel
231,231, The Royal Tenenbaums ,2,2001,Wes Anderson,Hannah Brown,Jerusalem Post,Israel
232,232, No Country For Old Men ,3,2007,Joel and Ethan Coen,Hannah Brown,Jerusalem Post,Israel
233,233, Waltz with Bashir ,4,2008,Ari Folman,Hannah Brown,Jerusalem Post,Israel
234,234, The Matchmaker ,5,2010,Avi Nesher,Hannah Brown,Jerusalem Post,Israel
235,235, Footnote ,6,2011,Joseph Cedar,Hannah Brown,Jerusalem Post,Israel
236,236, The Son ,7,2002,Jean-Pierre and Luc Dardenne,Hannah Brown,Jerusalem Post,Israel
237,237, In the Mood for Love ,8,2000,Wong Kar-wai,Hannah Brown,Jerusalem Post,Israel
238,238, You Can Count On Me ,9,2000,Kenneth Lonergan,Hannah Brown,Jerusalem Post,Israel
239,239, Yossi & Jagger ,10,2002,Eytan Fox,Hannah Brown,Jerusalem Post,Israel
240,240, Mulholland Drive ,1,2001,David Lynch,Luke Buckmaster,The Guardian/BBC Culture,Australia
241,241, There Will Be Blood ,2,2007,Paul Thomas Anderson,Luke Buckmaster,The Guardian/BBC Culture,Australia
242,242," O Brother, Where Art Thou? ",3,2000,Joel and Ethan Coen,Luke Buckmaster,The Guardian/BBC Culture,Australia
243,243, Spirited Away ,4,2001,Hayao Miyazaki,Luke Buckmaster,The Guardian/BBC Culture,Australia
244,244, Children of Men ,5,2006,Alfonso Cuarón,Luke Buckmaster,The Guardian/BBC Culture,Australia
245,245, In the Mood for Love ,6,2000,Wong Kar-wai,Luke Buckmaster,The Guardian/BBC Culture,Australia
246,246, The Babadook ,7,2014,Jennifer Kent,Luke Buckmaster,The Guardian/BBC Culture,Australia
247,247, A Separation ,8,2011,Asghar Farhadi,Luke Buckmaster,The Guardian/BBC Culture,Australia
248,248, Caché ,9,2005,Michael Haneke,Luke Buckmaster,The Guardian/BBC Culture,Australia
